time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-10 00:00:00+00:00,0,0,2,1
2022-06-11 00:00:00+00:00,0,0,1,1
2022-06-13 00:00:00+00:00,2,2,4,2
2022-06-14 00:00:00+00:00,3,3,0,0
2022-06-15 00:00:00+00:00,9,5,2,1
2022-06-16 00:00:00+00:00,9,7,0,0
2022-06-17 00:00:00+00:00,1,1,2,1
2022-06-18 00:00:00+00:00,0,0,3,2
2022-06-21 00:00:00+00:00,3,3,0,0
2022-06-22 00:00:00+00:00,4,3,1,1
2022-06-24 00:00:00+00:00,20,13,0,0
2022-06-25 00:00:00+00:00,8,5,5,2
2022-06-26 00:00:00+00:00,3,2,0,0
2022-06-27 00:00:00+00:00,2,2,0,0
2022-06-28 00:00:00+00:00,5,4,0,0
2022-06-29 00:00:00+00:00,13,7,1,1
2022-06-30 00:00:00+00:00,5,5,4,2
2022-07-01 00:00:00+00:00,3,3,29,2
2022-07-02 00:00:00+00:00,4,4,1,1
2022-07-03 00:00:00+00:00,4,4,0,0
2022-07-04 00:00:00+00:00,1,1,1,1
2022-07-05 00:00:00+00:00,3,3,0,0
2022-07-06 00:00:00+00:00,3,3,1,1
2022-07-07 00:00:00+00:00,5,4,0,0
2022-07-08 00:00:00+00:00,6,5,2,2
2022-07-09 00:00:00+00:00,5,4,0,0
2022-07-10 00:00:00+00:00,1,1,1,1
2022-07-11 00:00:00+00:00,2,2,4,2
2022-07-12 00:00:00+00:00,12,7,0,0
2022-07-13 00:00:00+00:00,2,2,0,0
2022-07-14 00:00:00+00:00,3,3,4,1
2022-07-15 00:00:00+00:00,8,6,0,0
2022-07-16 00:00:00+00:00,1,1,0,0
2022-07-17 00:00:00+00:00,1,1,0,0
2022-07-18 00:00:00+00:00,2,2,0,0
2022-07-19 00:00:00+00:00,4,3,5,3
2022-07-20 00:00:00+00:00,5,4,8,3
2022-07-21 00:00:00+00:00,5,5,0,0
2022-07-22 00:00:00+00:00,20,9,0,0
2022-07-23 00:00:00+00:00,5,4,15,5
